Product_ID,Product_Category_Name,Product_Weight_Gr,Product_Length_Cm,Product_Height_Cm,Product_Width_Cm
1e9e8ef04dbcff4541ed26657ea517e5,Perfumery,225,16,10,14
3aa071139cb16b67ca9e5dea641aaa2f,Art,1000,30,18,20
96bd76ec8810374ed1b65e291975717f,Sports_Leisure,154,18,9,15
cef67bcfe19066a932b7673e239eb23d,Baby,371,26,4,26
9dc1a7de274444849c219cff195d0b71,Housewares,625,20,17,13
41d3672d4792049fa1779bb35283ed13,Musical_Instruments,200,38,5,11
732bd381ad09e530fe0a5f457d81becb,Cool_Stuff,18350,70,24,44
2548af3e6e77a690cf3eb6368e9ab61e,Furniture_Decor,900,40,8,40
37cc742be07708b53a98702e77a21a02,Home_Appliances,400,27,13,17
8c92109888e8cdf9d66dc7e463025574,Toys,600,17,10,12
