Customer_Trx_ID,Customer_Country,Total_Orders,Avg_Order_Value,First_Purchase,Last_Purchase,Purchase_Period_Days,Purchase_Frequency,Customer_Group
1617b1357756262bfa56ab541c47bc16,France,1,13664.08,2023-09-29 15:24:00,2023-09-29 15:24:00,1,1.0,High_Value
ec5b2ba62e574342386871631fafd3fc,Czechia,1,7274.88,2024-07-15 14:49:00,2024-07-15 14:49:00,1,1.0,High_Value
c6e2731c5b391845f6800c97401a43a9,Norway,1,6929.31,2023-02-12 20:37:00,2023-02-12 20:37:00,1,1.0,High_Value
f48d464a0baaea338cb25f816991ab1f,Czechia,1,6922.21,2024-07-25 18:10:00,2024-07-25 18:10:00,1,1.0,High_Value
3fd6777bbce08a352fddd04e4a7cc8f6,Germany,1,6726.66,2023-05-24 18:14:00,2023-05-24 18:14:00,1,1.0,High_Value
05455dfa7cd02f13d132aa7a6a9729c6,Netherlands,1,6081.54,2023-11-24 11:03:00,2023-11-24 11:03:00,1,1.0,High_Value
df55c14d1476a9a3467f131269c2477f,France,1,4950.34,2023-04-01 15:58:00,2023-04-01 15:58:00,1,1.0,High_Value
e0a2412720e9ea4f26c1ac985f6a7358,Italy,1,4809.44,2024-07-12 12:08:00,2024-07-12 12:08:00,1,1.0,High_Value
24bbf5fd2f2e1b359ee7de94defc4a15,Germany,1,4764.34,2023-04-18 18:50:00,2023-04-18 18:50:00,1,1.0,High_Value
3d979689f636322c62418b6346b1c6d2,Slovakia,1,4681.78,2024-06-22 12:23:00,2024-06-22 12:23:00,1,1.0,High_Value
1afc82cd60e303ef09b4ef9837c9505c,Germany,1,4513.32,2024-08-03 21:10:00,2024-08-03 21:10:00,1,1.0,High_Value
cc803a2c412833101651d3f90ca7de24,France,1,4445.5,2024-05-31 22:57:00,2024-05-31 22:57:00,1,1.0,High_Value
926b6a6fb8b6081e00b335edaf578d35,Poland,1,4194.76,2023-04-18 20:37:00,2023-04-18 20:37:00,1,1.0,High_Value
35a413c7ca3c69756cb75867d6311c0d,Netherlands,1,4175.26,2024-03-29 10:31:00,2024-03-29 10:31:00,1,1.0,High_Value
