Product_ID,Product_Category_Name,Quantity_Sold,Avg_Review_Score
aca2eb7d00ea1a7b8ebd4e68314663af,Furniture_Decor,527,4.02
99a4788cb24856965c36a24e339b6058,Bed_Bath_Table,491,3.9
422879e10f46682990de24d770e7f83d,Garden_Tools,487,3.95
389d119b48cf3043d311335e499d9c6b,Garden_Tools,392,4.12
368c6c730842d78016ad823897a372db,Garden_Tools,391,3.92
53759a2ecddad2bb87a079a1f1519f73,Garden_Tools,375,3.87
d1c427060a0f73f6b889a5c7c61f2ac4,Computers_Accessories,343,4.19
53b36df67ebb7c41585e8d54d6772e08,Watches_Gifts,323,4.19
154e7e31ebfa092203795c972e5804a6,Health_Beauty,293,4.32
3dd2a17168ec895c781a9191c1e95ad7,Computers_Accessories,274,4.21
2b4609f8948be18874494203496bc318,Health_Beauty,269,4.07
7c1bd920dbdf22470b68bde975dd3ccf,Health_Beauty,239,3.88
a62e25e09e05e6faf31d90c6ec1aa3d1,Watches_Gifts,226,3.86
5a848e4ab52fd5445cdc07aab1c40e48,#N/A,197,4.12
bb50f2e236e5eea0100680137654686c,Health_Beauty,196,4.22
e0d64dcfaa3b6db5c54ca298ae101d05,Watches_Gifts,195,3.78
e53e557d5a159f5aa2c5e995dfdf244b,Computers_Accessories,188,3.46
42a2c92a0979a949ca4ea89ec5c7b934,Housewares,183,4.0
b532349fe46b38fbc7bb3914c1bdae07,Furniture_Decor,170,3.53
35afc973633aaeb6b877ff57b2793310,Home_Confort,167,3.82
a92930c327948861c015c919a0bcb4a8,Watches_Gifts,160,3.85
19c91ef95d509ea33eda93495c4d3481,Health_Beauty,157,4.12
6cdd53843498f92890544667809f1595,Health_Beauty,156,4.32
f1c7f353075ce59d8a6f3cf58f419c9c,Bed_Bath_Table,155,4.38
437c05a395e9e47f9762e677a7068ce7,Health_Beauty,155,4.18
3fbc0ef745950c7932d5f2a446189725,Health_Beauty,150,3.91
c4baedd846ed09b85f78a781b522f126,Garden_Tools,149,4.2
06edb72f1e0c64b14c5b79353f7abea3,Bed_Bath_Table,147,3.99
461f43be3bdf8844e65b62d9ac2c7a5a,Watches_Gifts,146,3.99
7a10781637204d8d10485c71a6108a2e,Watches_Gifts,143,4.08
0aabfb375647d9738ad0f7b4ea3653b1,Consoles_Games,142,4.2
656e0eca68dcecf6a31b8ececfabe3e8,Computers_Accessories,141,3.97
8c591ab0ca519558779df02023177f44,Garden_Tools,141,4.13
2028bf1b01cafb2d2b1901fca4083222,Perfumery,141,4.28
